연도,전체석사,전체박사,,연도,직무,석사,박사,,연도,연봉별 직무,나머지,석사,박사
2018,960,1033,,2018,데이터 과학자,372,975,,2018,초급 데이터 과학자,151,42,88
2021,203,49,,2018,데이터 엔지니어,253,83,,2018,중급 데이터 과학자,809,256,415
,,,,2018,데이터 분석가,335,75,,2018,고급 데이터 과학자,336,74,372
,,,,2021,데이터 과학자,135,47,,2018,초급 데이터 엔지니어,116,21,15
,,,,2021,데이터 엔지니어,35,2,,2018,중급 데이터 엔지니어,640,161,47
,,,,2021,데이터 분석가,33,0,,2018,고급 데이터 엔지니어,287,71,21
,,,,,,,,,2018,초급 데이터 분석가,1041,228,39
,,,,,,,,,2018,중급 데이터 분석가,264,75,19
,,,,,,,,,2018,고급 데이터 분석가,78,32,17
,,,,,,,,,2021,초급 데이터 과학자,70,44,17
,,,,,,,,,2021,중급 데이터 과학자,54,67,21
,,,,,,,,,2021,고급 데이터 과학자,40,24,28
,,,,,,,,,2021,초급 데이터 엔지니어,38,20,1
,,,,,,,,,2021,중급 데이터 엔지니어,37,10,0
,,,,,,,,,2021,고급 데이터 엔지니어,7,5,1
,,,,,,,,,2021,초급 데이터 분석가,73,29,0
,,,,,,,,,2021,중급 데이터 분석가,4,7,0
,,,,,,,,,2021,고급 데이터 분석가,1,0,0
